Predator,Habitat,Food and feeding
Diardis clouded leopard," Little is known of its habitat requirements, but long thought to be strongly associated with primmy evergreen tropical rainforesl up to about 2000 m. However recent reports suggest its ecological requirements may be more flexible, with observations of cloudcd leopards in logged forests, degraded secondary forest, scrub habitats and mangrove swamps."," A variety of terrestrial and arboreal vertebrates are reported as prey,but no detailed studies with large sample sizes to date. Prey items known to include young Sambar, muntjac, mouse deer, Bearded Pig, palm Civet, Hoses Langur (Praclmishnswi). ()mngutan (Pongo). porcupine, birds, and fish. The cats long, thick tail, large paws. and short legs suggest it is well suited to an arboreal lifestyle, but the majorityof sightings on Borneo are of Clouded leopards walking on the ground. They are also known to use former or existing logging roads for hunting on Borneo."
Leopard," As might be predicted from its broad geographic distribution, Leopards areable to live in almost every type of habitat. In subSaharan Africa the cats are found in all habitats that have an annual rainfall above 50 mm. They are also found in true deserts, but only where river courses extend into this otherwise inhospitable habitat. In the Kalahari Gemsbok National Park, South Africa, Leopards inhabit aricl,open dune sandveld with scattered shrubs and trees. They escape the intense midday heat by sheltering in porcupine or aardvark burrows. Tracking studies in the Kalahari have shown that Leopards can survive without drinking for as long as ten days. In other hot, dry deserts such as the Namib, Sahara, Sinai, and Arabian, Leopards alsouse caves, burrows, or the shade of dense vegetation to survive daytime temperatures that may reach 70°C. In other parts of Africa Leopards occur in the wetter habitats,including savannas, acacia grasslands, evergreen and deciduous forests, and scrub woodlands. They also occur in the rain forest habitats of Central and West Africa,where annual rainfall typically exceeds 1500 mm. Leopards are common throughout the Indian subcontinent, from the moist deciduous, teak, and shola forests of theWestern Ghats to the dry, deciduous, bamboo, and mixed forests of the rugged ta-ble land in central India. In the north they live in sal forest and the tall grasslands onthe outwash plains of the Himalaya as well as in the mountainous terrain of Pakistanand Kashmir to 5200 rn. In Myanmar, Thailand, Peninsular Malaysia, and java the cats are found in dense, primary rain forest and a variety of other forest types. In the Russian Far East Leopards inhabit mountainous forested regions. They prefer broken topography with Korean pine and second growth oak forest. In this area, a key limit-ing factor is snow depth. The cats prefer habitats where the average longterm snowcover does not exceed 15 cm. Whatever type of habitat they live in, Leopards are oftenable to persist in close proximity to people, as long as they are not persecuted and have access to secure den sites. Remarkably, three Leopards were discovered living in an abandoned engine at the railroad station in Kampala, Uganda. In India it is not uncommon to read newspaper accounts of villagers finding leopards hiding in shedsand outbuildings"," Leopards are adaptable generalists, able to survive on an extraordinary variety of large or small prey. In many areas the cats diet consists largely of small to medium sized mammals (5—45 kg), but even ungulates weighing two to three  timesthe cats body weight are occasionally taken. Leopards can also survive on extremely small prey, an ability that allows them to live in areas from which larger prey has long since been extirpated. The cat has a truly catholic diet, taking an incredible variety of different prey sizes and types. At least 92 prey species are known from the Leopardsdiet in subSaharan Africa. Where Leopards live near Villages their diet often includes dogs, cats, sheep, goats, calves, and pigs. A large number of sheep or goats can b ekilled in a single incident when a Leopard finds itself in a pen with a frightened flock.The Leopards fondness for dogs is well known and there are many accounts of family pets or Village dogs disappearing in the night. Food habit studies from different partsof the Leopards geographic distribution illustrates the cats adaptability. In the Ser-engeti, Impala (Aepycems melampus) and Thompsons Gazelles (Eudorcas thomsam'i) are the principal prey, but other bovids (Bushbuck Tragelaphus scﬂptus, Common Reed-buck Redunca redunca, Blue Wildebeest Connochaetes tau’m’nus, Grants Gazelle Nangm“granti, Topi Damalz'scus kOMgum, Hartebeest Alcelaphus buselaphus) are also taken. Less frequently taken prey incude Common Warthog (Phacochoerus africarnrus), Burchells Zebra (Equus burchelliz'), hyrax, spring hare, baboons, birds, and small carnivores. lmpala are also the dominant prey (78% of kills) in Kruger National Park, although the cats occasionally prey on other bovids (Bushbuck, Reedbuck, Blue Wildebeest, Water-buck Kobus ellipsiprymnus, Kudu ?lagelaphus stre/Jisrmns, Nyala 7'? angaszfi, Common Tsessebe Damalz'scus lunatus, Common Eland 'lhmvtmgus myx, Sable Antelope H ippotm-guy nlz'ger, and African Buffalo Sym'erus caﬂér). In the Kalahari, Springbok (Antidon'asmarsupialis) is the most important prey (65% of kills), but duikers, Steenbok (Raplzim'usra’m/Jestrz's), Blue Wildebeest, Hartebeest, and Gemsbok (Oryx gazella.) are also taken.Incidental prey included small carnivores, birds, rodents, Cheetahs, Aardwolves, and aardvarks. Duikers were the most important prey in north-east Namibia; Steenbok ranked second. A variety of other carnivorous animals were also killed, including Aardwolf, Cheetah, Genet, Bateared Fox, Wildcat, and python. A major difference in the diets ofAfrican Leopards is that. cats from tropical rain forests take significantly more primates. In the lturi Forest, Zaire, primates comprised  25% of prey items in Leopards eats. ()I' 13 species of diurnal anthropod primates in the area. remains of at least. eleven species were identified in seats. Arboreal guenons, mangabeys. and colobines were taken in proportion to theie abundance but predation on lhoests monkey a terrestrial species was much greater than expected based on their availability. Despite the increased percentage of primates in the diwts of ituri forest leopards their principal prey was meduim sized ungulates in the tai national park ivory coast prinate remains were found in 25% of scats leopards killed at least eight spacies of primate dikiers were tie dominant prey  but bushpigs porcupines hyrax water echevrotain and rodents were also taken. Leopards in Asiapreylargely on small to medium sized ungulates In Nugurhulc National Park.india  chital muntjac and sambar were found in 65% of scats the remains of guar and four horned Antelope('li'lmrmm qumlrirmvlix). Wild Boar: and chevrotain were found in 19% ()1 scats, incidental prey included primates, hares. porcupines. and Dhole. The small (15—20 kg)muntjac was thedominant prey (43%) in Huai Khzi Khaeng Wildlile Sanctuary.thailand. Primates ranked second (11%) in scats. followed by porcupincs (10%). Less frequently occurring prey intluded Sambar. Wild Boars. Hog Badgers, pangolins. rodents. birds. lizards. and crabs. in Wolong Resolve, China, Tufted Deer ([t'lap/zmlus re»llhlllo/l/HM) are the principal prey (41 %)l Musk deer. Sambar, Wild Boar and several species of bovids (Serow (Iaprimrm‘s. Takin Budmms taximlm: Goral Naemorhedus) were taken occasionally. Surprisingly. rodents were the second most frequently occurring prey (17%) in scats. The remains of a Red Panda and a Giant Panda were each found in a scat in the Russian Far East more than half of the Leopard's dict consists of siberian Roe Deer Secondary prey include Siberian Musk Deer, Sika Deer,Wild Boar, hare.badger. Raccoon Dog. and pheasants. Leopards locate their prey primarily by sight and sound. and they spend considerable time looking and listening for prey as they walk slowly about their home ranges Having detected an animal, [11C Leopard will stalk it,preferring to get as close as possible before launching an attack. Alternatively. it will lie in ambush. waiting for the prey to come close enough to attack, Adult prey are rarely pursued. although young inexperienced animals are sometimes chased for consideraable distances. Most hunting is done at night, taking advantage of the cover of dark-ness. and what little information is available suggests hunting success is higher at night.Leopards occasionally hunt during the daytime, but typically only in areas with dense cover. Few people have actually observed Leopards trying to capture an animal In Kruger National Park. Leopards were unsuccessful on thirteen daytime attempts but two attempts at night were both successful. In the Serengeti National Park, only one ofnine and three of sixtyfour daytime attempts to Capture prey were successful. Like other large felids. Leopards Commonly kill large prey with a bite to the throat. Small prey are usually dispatched with a bite to the nape or back ()fthe head. Leopards go to great lengths to avoid losing their kills to scavengers and larger predators. They will drag carcasses hundreds of meters to get to areas with dense cover or to cache kills intrees. Hauling 21 carcass into a tree involves a great feat of strength, One Leopard managed to haul a 125 kg giraffe calf up into a tree to a height 0157 m, The habit of caching kills in trees appears to be more common in africa .wherc large carnivores such as lions and hyenas will quickly steal kills from the smaller and less powerful leopard. in the Serengeti. Leopard kills Stored in trees lasted about four timeslonger than similar sized kills stored on the ground. How often a Leopard kills depends on variables such as size of prey, seasonal Changes in cover, individual differences in levels ofexperience.and reproductive constraints. Leopards in Kruger National Park killed on average about one Impala per week. The longest interval between kills of large prey was 19days. In the Serengeti, where Thompson’s Gazelles were the principal prey, Leopards made a kill about every five to six days. A female Leopard in South Africa‘s Londolo/iGame Reserve was seen with 28 kills weighing more than 10 kg in 330 days. or about one kill every 11-8 days. The kill rates in Kruger were slightly higher in the wet seasonthan in the dry season, which was thought to be related to the increased density ofstalking cover following the onset of the rains. Males in Kruger killed a large prey animal about once every 7.2 days compared to once every 76 days for females without young. In the Kalahari Desert, male Leopards made a kill about evely three days. com-pared to once every 1.5 days for females with cubs. As the interval between kills got longer, Leopards in the Kalahari increased the distances they traveled each day to in-crease contact rates with prey. F emales in north-east Namibia without young made akill about once every 5—5-6 days, whereas females with dependent young made a killevery 3-9—4-4 days. Although the kill rate was not much higher for females with young.they did kill larger prey, resulting in a greater per capita food intake. The amount of meat consumed varies, depending on the size of the prey, how much meat is lost to scavengers, and the percentage of carcass that is inedible. Estimates of consumption vary from 4-7—3-1 kg/day for adult male Leopards in Kruger to ‘19 kg/I’day for adult females in the same area. Leopards in captivity are maintained on about 1 -2 to 2-6 kgday, but they surely have less caloric demands than animals in the wild."
Tiger,"Tigers are found in a great variety of habitat types. In Turkmenistan. uzbekistzm, and Tajikistan the Tiger was found in the drainage basins of rivers and hikes.where they hunted in the tugai which consists of thickets of Iowstature trees (tumu-ga. tamarisk), shrubs, and dense reed beds. In Kazakhstan Tigers sometimesascended into montane forests in the summer in pursuit Of wild Boar, attaining heights 012500111. There are also records of Tigers in the Himalayas at altitudes of almostt 4000 al-though in most areas the cats remain well below 2000 m. In China they occupied grass thickets, montane subtropical evergreen forests, and mixed forests dominated by oakand poplars. Tigers in the Russian Far East live in low mountainous terrain dominated by nut pine, birch, oaks,fir, and spruce. Winter in this region is harsh, with deep snowand temperatures dropping to —34°C. In Sumatra and Malaysia Tigers are found in lowland humid tropical rainforest, where precipitation exceeds 2000 mm annually. In the outwash areas south of the Himalayas Tigers inhabit theterai beltof floodplain habitat dominated by marshes, swamps, oxbow lakes, and tall, dense grasslands intermixed with riverine forest. Sal forest, a climax form of moist deciduous forest. occurson the slopes of the adjacent hills. In India Tigers inhabit the tropical. wet evergreen.and semievergreen forests of Assam, the mangrove swamps Of west Bengal and neigh-boring Bangladesh, the vast expanses of dry deciduous forest in the central plateau.the tropical moist and dry deciduous forests of the Western Chats, and the thorn for-ests of Rajasthan and Gujarat. In Ranthambhore National Park, Rajasthan, Tigers alsouse the ancient temples and fortresses as places to lie up during the day. ",". The list of prey species found as kills or in Tiger scats (form) is extensive, but across its vast geographic range the Tigers dict consists largely of deer  and pigs. Over at 54 year period in Sikhote—Alin, Russia, Red Deer ( Cm‘uus emplzus) and Wild boar were dominant prey, representing 437 of 522 kills (84%), Minor prey included Moose (Alas glues), Siberian Roe Deer (Capreolm pygargus), and Sika Dom ((ImmsNippon). Siberian Musk Deer (Moschus nwschiferm), and Longtailed Coral (N(mnor/mLus t‘uudalus). Surprisingly, the kill records included a small number of adult Brown andAsiatic Black Bears There is little information available on the food habits of Tigers inSouthEast Asia, but in a sample (n 2 38) of Tiger scats from Huai Kha Khaeng Wildlife Sanctumy Thailand, muntjac were the dominant prey (42%). Sambar Deer (7%) andWild Boar (9%) occurred relatively infrequently in scats, whereas smaller prey such as porcupincs, Hog Badgers, primates, and lizards collectively occurred in 28% of scats. Thc diet of Tigers in Royal Bardia National Park, Nepal, was reconstructedfrom an ananalysis of 215 scats collected over a 5-year period. Three species, Chital (szs (mix),Wild Boar, 21nd Hog Deer (Axis pmoinus), contributed more than 90% 0f the biomass consumed. Several other species, including langur monkeys. Nilgai (Bowlaphus (mgr)-mmﬂlus). and Barasingha (Rucmms duvaucelz’z), and porcupine occurred infrequently in scats. Larger ungulates such as the Nilgai and Barasingha wcrc not killed preferentially, probably due to their low densities. Wild Boar were taken out of proportion to their availability, although Tiger predation was heaviest on teo incredibly abundant(over 2OO/km3) Chital Based on an analysis of 472 scats, Tigers in Nagarhole NationalPark, India, preyed selectively on the largest prey available, the Guar (BOA fronmlz's')and Sambar, whereas smaller prey such as Chital, Red Mumjac (Muntiarus mxmdjak).and Wild Boar were underrepresented in the diet  Thesefive prey species together provided about 96% of the biomass consumed by Tigers. Among the larger prey species, Tiger predation was biased towards adult male Sambar, Chital, and Wild Boar :and young Gaur. Minor prey identfied in scat included Indian Spotted chevrotain (Alaschiola), hare, porcupine, Dhole, and primates Based 011 the scat data, the average Weight of prey taken by Tigers in Nagarhole was 91 kg. In contrast,the average weight based solely on kills was 400 kg; however, because large kills are more likely to be found, this method grossly overestimates the average weight of preytaken it does indicate, however, that Tigers are capable of taking extremely large prey. including adult male Gaur that may weigh 1000 kg‘ Tigers are solitary, stalk and ambush hunters and they actively search for prey. Habitat fcatures that attract ungulates. such as water  holes and the edges of small clearings, are favorite hunting spots. Stalking cover is important: a Tiger will attempt to get as close as possible to its prey before making a final rush, relying on quickly overtaking prey rather than pursuit for long distances.The tiger catches hold of the. prey with its claws and holds and kills its prey with a bite from the large canine teeth. Small prey, or those weighing half that of the Tiger, are typically killed with a bite to the nape, with the canines separating the vertebrae and breaking the spinal cord. Large prey are most often killed with a throat bite, leading to strangulation or neck breakage due to twisting on impact. Except. for adult guar,Tigers in Nagarhole killed their prey where cover density was significantly higher than that of leopard kills. Adult Gaur were killed in areas with significantly less cover, sug-gesting that attacks on Gaur in dense cover were extremely risky. Tigers in Nagarahole also took advantage of the cover of darkness; about 27% of kills were made between()6200—0900 h and the remainder were made between 18:00—06:00 h. Large kills suchas Gaur may be too heavy to be moved, but if there is insufficient cover at the kill site the Tiger will drag its kill to an area where it feels secure before beginning to feed.Drag distances may be a few meters or several kilometers, and individual temperament may also influence this behavior. Feeding usually begins on the hindquarters or rump and once the body cavity is opened the stomach is removed and set aside. The carcass is then dragged a short distance before feeding resumes. Tigers use their carnassial or blade-like Cheek teeth to slice off large hunks of meat and the rough tongue is used to rasp flesh from bones. The amount of meat consumed can be substantial: one adult male Tiger in Chitwan ate 32 kg in a single night and there are other reports of Tigersconsuming 20% of their body weight in a nights feeding. Tigresses in (Jhitwan spentan average of three days with each kill and during that time consumed 46 kg of meat.However, even large kills may not last long if several Tigers are feeding on the carcass.For example, a tigress in Chitwan and her two large young fed on an adult Sambar fortwo days, consumingI  kg of meat or about 17 kg per Tiger per day. Tigers often rest near the carcass, feeding intermittently, but if the Tiger leaves it will typically cover the remains. raking leaves, grass, dirt, or even rocks over the carcass. There is little infor-mation on kill rates, but tigresses in Chitwan without dependent young killed a large prey animal about every eight or nine days, which translates to 40 to 46 kills per year.Females with dependent young have to kill more often or kill larger prey to meet the nutritional demands of growing offspring."
African golden cat,"Habitat. Primary habitat is moist forest, Often along rivers. Also found in St‘COIIduHundergrowth, logged forest With dense understory, montane forest, alpine numrlund§and bamboo forest. Recorded from riverine forest where watercourses penetrate open savannas.",". Variety of different sized prey, including dwarfantelope and dukiers, primates (Cercopithecidae), brushtailed porcupine, shrews, elephant shrew(Macroscelididae), rats, pangolins, squirrels, hyraxes, unidentified birds, and small mammals. Stalk and ambush hunter, catching most of its prey on the ground."
African Wild Dog,". Wild Dogs occupy a range of habitats including shOI‘t—grass plains,.S(’.ml—(i(‘.SCrL bushy savannahs, and upland forest. Early studies in Tanzania Serengeti led to a beleif that Wild Dogs were primarily an open plains species, but they reach thelr highest densities in thicker bush (e.g. central Tanzania, western Zimbabwe and northern Botswana). Several relict populations also occupy dense upland forest (e.g. Harenna Forest. Ethiopia; Ngare Ndare Forest, Kenya). Wild Dogs have been recorded in desert,although they appear unable to expand into the southern Kalahari or into montanehabitats; they occur in some lowland forest areas. It appears that their current distribution is limited primarily by human activities and the availability of prey, rather than the loss of a specific habitat type.",". Wild Dogs mostly hunt medium—sized antelope. In most. areas theirprincipal prey arc Impala, Greater Kudu (ngelaphus strepsz‘ceros), Thomson’s Gazelle,and Blue Wildebeest (Co-nnochaetes taurinus). They will give chase to larger species,such as Common Eland (Tragelaphm oryx) and African Buffalo (Syncerus cajfer), butrarely kill these species. Warthogs (Phacochoerus spp.), dik-diks (Madoqua spp.), Steen-bok (Raphicems campestris), and duikers ((Zephalophini) are important prey items insome areas. African Wild Dogs also take small prey opportunistically, such as hares,lizards. and bird eggs, but these make a very small contribution to their diet. AfricanWild Dogs live and hunt in packs. Hunts appear to be highly coordinated and are oftenpreceded by a “social rally”. During chases, Afn'can Wild Dogs may run at speeds of upto (30 km/h, and are specially adapted to cope with the heat stress that this involves.Alter one dog has made the ﬁrst. grab of an antelope or other prey Species, other packmembersjoin and help drag the quarry t0 the ground. In some hunts, one pack mem—ber may restrain the head of the prey by biting its nose and holding on While Othersmake the kill. Indiwduais may also chase and bring down prey alone. Hunting successm high in companson With other large carnivore species (e.g. in the Serengeti 70% ofH3 African Wild Dog hunts ended in a kill). Social hunting gives each pacit member .1higher foraging success rate (measured as kg killed per km chased) relative to huntinir.me. African Wild Dogs very rarely scavenge. 0"
Alexanders cusimanse," Lowland 21nd montanc rainfbrcst, damp valley bottoms, and seasonally Hood—ed swamp [brcsL Said to utilize cultivated and inhabited land (in contrast. to Angolan(Iusimzmsc). Relict population believed to live on Mount Elgon (1500—2900 m). ",". Believed to feed on invertebrates and vertebrates 0f the forestfloor and in rotting logs, feeding mainly on earthworms, slugs, snails, and beetles,with some fruit."
Andean cat," High (3000-4500 In). rocky treeless zone in the Andes mountains to below m in Patagonian steppe 0f Ncuquen Province, Argentina. Probably less than {1(101cm continual sightings oflive cats in the wild, all in arid and semarid areas above treeline vegetation is sparse, consisting of scattered dwarf shrubs, clumps of grass and cold hardy cushion plants . One specimen collected at 5100 m in Peru.","little information available probably also preys on ground dwelling birds, small rodents and lizards"
Angolan cusimanse,". Lowland and montane rainforest, damp valley bottoms, and seasonally flood—ed swamp forest. Said to utilize cultivated and inhabited land (in contrast to AngolanCusimanse). Relict population believed to live on Mount Elgon (1500—2900 m). ",". Believed to feed on invertebrates and vertebrates of the forestﬂoor and in rotting logs, feeding mainly on earthworms, slugs, snails, and beetles,with some fruit."
Arctic Fox," Arctic and alpine tundra of Eurasia, North America, and the Canadian archipelago, Siberian islands, Greenland, inland Iceland, and Svalbard. SubArctic mari-time habitat in thc Aleutian island Chain, Bering Sea islands, Commander Islands. and coastal Iceland",". The Arctic Fox is an opportunistic predator and scavenger. 1n mgstinland arms h is hmvily dependent on fluctuating rodent populations. Main prey m— elude Lemmings, both Lemmus spp. and Dicrostonyx spp. In Fennoscandia, L. lemmaswas the main prey in summer (85% frequency of occurrence in feces) followed bybirds (Passeriforrnes, Galliformes, and Can'driiformes, 34%) and Reindeer (Rngifertamndus, 21%). In winter, ptarrnigan and grouse (Lagopus spp.) are common prey, inaddition to rodents and Reindeer. Changes in Fox populations have been observedto follow those of their main prey in three- to ﬁve—year cycles. Foxes living near ice-free coasts have access to inland prey and also sea birds, seal carcasses, ﬁsh. and in-vertebrates connected to the marine environment, leading to relatively stable foodavailability and a more generalist strategy. In late winter and summer, foxes foundin coastal Iceland feed on seabirds (Un'a aalge, U. lomvia), seal carcasses, and marineinvertebrates. Inland foxes rely more on Ptarmigan in winter, and migrant birds, suchas geese and waders, in summer. In certain areas, foxes rely on colonies of arctic geese.which can dominate their diet locally. Arctic Foxes forage singly, presunmbly the mostefﬁcient foraging technique in View of the species’ main prey base of rodents andbirds. When food is abundant, they cache food for later use. Caches am contain singleprey items or a variety of items, and sometimes include lemmings 0r goose eggs."
Asiatic golden cat ,found in tropical lowland rainforest and subtropical moist evergreen and dry deciduous forests to elevations of 3000m in the himalayas occaionally reported from more open rocky areas and grasslands,in peninsular malaysia diet included dusky leaf monkey mouse deer murids birds and lizards has also been recorded killing sheep goats and a buffalo calf anecdotal information suggests hunts primarily on the ground however can also climb well
Banded mongoose," Found in a wide range of habitats, principally in savannah and woodland.Also seen in towns and Villages. Absent from desert, semi-desert, and montane regions.Preferentially use termitaria as dens; otherwise dens are sited in gulleys 0r thickets.Dens have multiple entrances and Chambers ",". Inscctivomus diet, especially Coleoptera (beetles) and Myriapoda(centipedes) larvae. Occasionally vertebrates (including eggs, mice, rats, frogs, lizards,and small snakes) are consumed. F requency of occurrence of food types in 120 seatsfrom Uganda: Diplopoda (96%), Coleoptera (88%), Formicidae adults (69%) andpupae (23%), (lxyllidac (44%), Isoptera (33%), Dermaptera (23%), larvae (unidenti—fied) (20%). Blauidae (13%), Acrididae (10%), Acarina (8%), pupae (unidentiﬁed)(7%), Hemiptera (6%), Tettigoniidae (5%), Lepidoptera (2%), Araneae (3%), andGastropoda (2%). Frequency of occurrence of food types in 113 scats from Natal(South Africa): Myriapoda (70%), Coleoptera (92%), Orthoptera (57%), Isoptera(33%), Hemiptera (29%), Arachnida (21%), Seeds (20%), Mammalia (7%), Lepidop—[era (7%), and Blattodea (5%). Frequency Of occurrence offood types in 14 stomachsfrom Zimbabwe and Botswana: Insecta (71%), Reptilia (43%), fruits (36%), Amphibia(7%),Araneae (7%), Myriapoda (7%), Scorpiones (7%), and Solifugae (7%). Humangarbage dumps also utilized. Banded Mongooses move as a group, but individualsImage independently within the moving group. Individuals generally walk, snifﬁngand scraping at the ground, and often stop and dig intensively for prey. Dung of largeherbivores (especially African Elephant, Loxodonm qfn'ama) is popular for foraging, ((tlfrtzlfilc: ??“ftviVethlgll‘ density of~ beetles. IndiV‘idue-lls.often.crgck hard-shelléd prey§ 12% )9“ 6, p111 mllhpedc, ()1 egg) by holdmg 1t 1n their front paws, whllst bal-ancxng on their hindlimbs, and throwing it between the hindlegs onto a rock or otherhard surface. Frey and foraging sites such as holes, scrapes, and dung are generallydefended from conspeciﬁcs, except for adults proﬁsioning or sharing food with youngpups. There is a report ofa group stealing food regurgitated by a pair of Black-backedIackal for their pups."
Bat-eared Fox," In southern Africa prime habitat is mainly shortgrass plains and areas. with bare ground, but foxes are also found in open scrub vegetation and and or semi-arid shrub land and open and savannah. The range of Bateared Foxes overlaps almost completely with that of termites of the Hodotermes and Micmhodotermes genera thatprevail in their diet. In East Africa Bat—eared Foxes are common in open grasslandand woodland boundaries, but not on short—grass plains. Those areas occupied by Bat-eared Foxes usually contain more harvester termite (H. mossambicus) foraging holes and dung from migratory ungulates where beetles are likely to be found.",". Insects are the primary food sources in open grassland and wood—land edge habitats. Harvester termites and beetles are typically the most commonlyconsumed prey items. Diet is supplemented by orthopterans, beetle larvae, and ants.In open shrub savannahs, arachnids and fruit (consumed seasonally) may be amongthe more common food items. Small mammals, birds, eggs, and reptiles are eatensporadically in southern Africa, but rarely in eastern Africa. There is seasonal variationin the proportion of particular taxa consumed: in the Serengeti dung beetles are themain source of food during the rainy season, when termite activity is reduced. Whenboth beetles and termites are scarce, Bat-eared F oxes will dig up beetle larvae from theground. Harvester termites and dung beetles are more abundant in areas inhabitedby clusters of Bat—eared Fox families, and local differences in H. mossambicus densityare inversely related to territory size. Although Fox water requirements may be metby the high water content of their insect prey or by berries during the summer, wateris nevertheless a critical resource during lactation. Groups forage as a unit. Foragingtechniques depend on prey type, but food is often located by walking Slowly, noseclose to the ground entl ears cocked forward. _Prey is detected mostly by sound andoften excavated by dlggmg. Foraging and‘feedmg rates are higher when feeding ontermite patches than on more dispersed insects. When feeding on termite patches.group members feed closely together, but when feeding on beetles, beetle larvae 0rgrasshoppers, they can forage up to 200 m apart."
Bay cat," Most early specimens were collected in dense forest, along rivers. In 2003.two individuals were snared in Sabah, in traps set in afive year old pulp wood plantation that was formerly lowland dipterocarp forest. A compilation of 15 recentobservations show that Bay Cats occur in a variety of forested habitats, including low and hill dipterocarp forests, mangrove, riverine, and montane forests. ",Nothing known.
